Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,3,39608,Furadan 48 SC,3.1410970224827865,,5.845853994505885,,11.18835368569554,,7.180862868412768,,14.80162007698682,,87.03377609756097,,20.019999999999996,3.788785,1897.2096627266055
2,10,39615,Actara 25 WG,4.487281460689693,,8.351219992151266,,15.983362408136482,,10.25837552630395,,21.145171538552596,,126.82084048780487,,20.019999999999996,400.4,1914.668343166231
3,17,39622,,4.286980742662196,,12.73561048803068,,24.37462767240814,,15.644022677613526,,32.2463865962927,,186.50070463414633,,20.019999999999996,,889.0664775923299
4,24,39629,Actara 25 WG,3.37952645765019,,14.614634986264717,,27.970884214238843,,17.952157171031917,,37.00405019246704,,208.88037902439024,,20.019999999999996,400.4,2303.054452227115
5,31,39636,BaZam,4.248547546760239,,18.372683982732784,,35.16339729790026,,22.568426157868696,,46.51937738481572,,246.18130121951222,,20.019999999999996,1.001,1624.6576072176413
6,38,39643,Actara 25 WG,5.407242332240305,,23.38341597802354,,44.75341474278216,,28.72345147365107,,59.20648030794728,,295.9158641463415,,20.019999999999996,400.4,2868.9418138716765
7,45,39650,,5.579994625961323,,25.88878197566892,,56.296954259769606,,36.132278242648354,,74.4779930857908,,325.75591829268296,,20.019999999999996,,1905.4198102464313
8,52,39657,,6.611068137765573,,32.15219696978237,,75.21059977606443,,48.27135594877469,,99.49977940641134,,400.35605365853655,,20.019999999999996,,2490.648195923752
9,59,39664,TricoZam,6.8686422210551425,,33.40487996860506,,78.14088288422278,,50.15205812859708,,103.37639418847932,,415.27632487804874,,20.019999999999996,1.001,2965.8553166599645
10,66,39671,,4.483415689293888,,31.177887970698066,,96.96573194269467,,62.2341448595773,,128.28070733388572,,504.797952195122,,20.019999999999996,,3044.8605192715445
11,73,39678,,2.9111472766944186,,27.280651974360804,,97.46299210650336,,62.55329432039566,,128.93855711508516,,504.797952195122,,20.019999999999996,,3001.0295105492673
12,80,39685,,0.0,,30.621139971221304,,102.15144507955674,,65.56241780811146,,135.14114076639393,,564.4780604878048,,20.019999999999996,,3148.61832532107
13,87,39692,BaZam,0.0,,33.12650596886668,,105.66778480934676,,67.81926042389834,,139.7930785048755,,609.2381417073171,,20.019999999999996,1.001,3653.881779373808
14,94,39699,,0.0,,33.12650596886668,,105.66778480934676,,67.81926042389834,,139.7930785048755,,609.2381417073171,,20.019999999999996,,3273.501779373808
15,101,39706,,0.0,,33.12650596886668,,105.66778480934676,,67.81926042389834,,139.7930785048755,,609.2381417073171,,20.019999999999996,,3273.501779373808
16,108,39713,,0.0,,33.12650596886668,,105.66778480934676,,67.81926042389834,,139.7930785048755,,609.2381417073171,,20.019999999999996,,3273.501779373808
17,115,39720,TricoZam,0.0,,33.12650596886668,,105.66778480934676,,67.81926042389834,,139.7930785048755,,609.2381417073171,,20.019999999999996,1.001,3653.881779373808
18,122,39727,,0.0,,33.12650596886668,,105.66778480934676,,67.81926042389834,,139.7930785048755,,609.2381417073171,,20.019999999999996,,3273.501779373808
19,129,39734,,0.0,,33.12650596886668,,105.66778480934676,,67.81926042389834,,139.7930785048755,,609.2381417073171,,20.019999999999996,,3273.501779373808
20,136,39741,Acido Salicílico,0.0,,33.12650596886668,,105.66778480934676,,67.81926042389834,,139.7930785048755,,609.2381417073171,,20.019999999999996,250.24999999999997,3316.044279373808
21,143,39748,,0.0,,33.12650596886668,,105.66778480934676,,67.81926042389834,,139.7930785048755,,609.2381417073171,,20.019999999999996,,3273.501779373808
22,150,39755,,0.0,,33.12650596886668,,105.66778480934676,,67.81926042389834,,139.7930785048755,,609.2381417073171,,20.019999999999996,,3273.501779373808
