Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl (Lbs),Admin_Kcl_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39606,,2.7033931013274266,,11.69170798901177,,22.37670737139108,,14.361725736825536,,29.60324015397364,,174.06755219512195,,20.019999999999996,,812.8918093195637
2,8,39613,,3.861990144753461,,16.702439984302533,,31.966724816272965,,20.5167510526079,,42.29034307710519,,253.64168097560975,,20.019999999999996,,1137.4489632843936
3,15,39620,,5.889860777595784,,25.47122097606136,,48.74925534481628,,31.28804535522705,,64.4927731925854,,373.00140926829266,,20.019999999999996,,1704.6303005844238
4,22,39627,,6.75905291530038,,29.229269972529433,,55.94176842847769,,35.904314342063834,,74.00810038493408,,417.7607580487805,,20.019999999999996,,1947.4529044542296
5,29,39634,,8.497095093520478,,36.74536796546557,,70.32679459580052,,45.13685231573739,,93.03875476963144,,492.36260243902444,,20.019999999999996,,2432.4992144352827
6,36,39641,,10.81448466448061,,46.76683195604708,,89.50682948556432,,57.44690294730214,,118.41296061589456,,591.831728292683,,20.019999999999996,,3079.2276277433534
7,43,39648,,11.159989251922646,,51.77756395133784,,112.59390851953921,,72.26455648529671,,148.9559861715816,,651.5118365853659,,20.019999999999996,,3754.7836204928626
8,50,39655,,13.222136275531145,,64.30439393956475,,150.42119955212885,,96.54271189754938,,198.99955881282267,,800.7121073170731,,20.019999999999996,,4925.240391847504
9,57,39662,,13.737284442110285,,66.80975993721012,,156.28176576844555,,100.30411625719417,,206.75278837695865,,830.5526497560975,,20.019999999999996,,5114.894633319928
10,64,39669,,8.966831378587775,,62.35577594139613,,193.93146388538935,,124.4682897191546,,256.56141466777143,,1009.595904390244,,20.019999999999996,,6033.6650385430885
11,71,39676,,5.822294553388837,,54.56130394872161,,194.92598421300673,,125.10658864079132,,257.8771142301703,,1009.595904390244,,20.019999999999996,,5946.003021098534
12,78,39683,,0.0,,61.24227994244261,,204.30289015911347,,131.12483561622292,,270.28228153278786,,1128.9561209756096,,20.019999999999996,,6241.18065064214
13,85,39690,,0.0,,66.25301193773336,,211.3355696186935,,135.63852084779668,,279.586157009751,,1218.4762834146343,,20.019999999999996,,6490.947558747615
14,92,39697,,0.0,,66.25301193773336,,211.3355696186935,,135.63852084779668,,279.586157009751,,1218.4762834146343,,20.019999999999996,,6490.947558747615
15,99,39704,,0.0,,66.25301193773336,,211.3355696186935,,135.63852084779668,,279.586157009751,,1218.4762834146343,,20.019999999999996,,6490.947558747615
16,106,39711,,0.0,,66.25301193773336,,211.3355696186935,,135.63852084779668,,279.586157009751,,1218.4762834146343,,20.019999999999996,,6490.947558747615
17,113,39718,,0.0,,66.25301193773336,,211.3355696186935,,135.63852084779668,,279.586157009751,,1218.4762834146343,,20.019999999999996,,6490.947558747615
18,120,39725,,0.0,,66.25301193773336,,211.3355696186935,,135.63852084779668,,279.586157009751,,1218.4762834146343,,20.019999999999996,,6490.947558747615
19,127,39732,,0.0,,66.25301193773336,,211.3355696186935,,135.63852084779668,,279.586157009751,,1218.4762834146343,,20.019999999999996,,6490.947558747615
20,134,39739,,0.0,,66.25301193773336,,211.3355696186935,,135.63852084779668,,279.586157009751,,1218.4762834146343,,20.019999999999996,,6490.947558747615
21,141,39746,,0.0,,66.25301193773336,,211.3355696186935,,135.63852084779668,,279.586157009751,,1218.4762834146343,,20.019999999999996,,6490.947558747615
22,148,39753,,0.0,,66.25301193773336,,211.3355696186935,,135.63852084779668,,279.586157009751,,1218.4762834146343,,20.019999999999996,,6490.947558747615
