Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl (Lbs),Admin_Kcl_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39606,,0.3861990144753466,,1.6702439984302528,,3.1966724816272967,,2.0516751052607907,,4.22903430771052,,24.866793170731707,,20.019999999999996,,164.1754013313662
2,8,39613,,0.3861990144753466,,1.6702439984302528,,3.1966724816272967,,2.0516751052607907,,4.22903430771052,,24.866793170731707,,20.019999999999996,,164.1754013313662
3,15,39620,,0.6758482753318552,,2.922926997252943,,5.5941768428477685,,3.590431434206382,,7.4008100384934075,,44.76032536585365,,20.019999999999996,,245.31468982257374
4,22,39627,,0.9655789879000544,,4.175609996075633,,7.99168120406824,,5.129187763151976,,10.572585769276298,,59.680108292682924,,20.019999999999996,,326.25555777917566
5,29,39634,,0.9655789879000544,,4.175609996075633,,7.99168120406824,,5.129187763151976,,10.572585769276298,,59.680108292682924,,20.019999999999996,,326.25555777917566
6,36,39641,,1.5449263806400872,,6.680975993721011,,12.786689926509187,,8.206700421043163,,16.91613723084208,,84.54738975609757,,20.019999999999996,,487.9376611061932
7,43,39648,,1.5449263806400872,,6.680975993721011,,12.786689926509187,,8.206700421043163,,16.91613723084208,,84.54738975609757,,20.019999999999996,,487.9376611061932
8,50,39655,,1.8888766107901636,,9.186341991366392,,21.488742793161265,,13.791815985364197,,28.428508401831817,,114.387443902439,,20.019999999999996,,751.6537702639291
9,57,39662,,1.8888766107901636,,9.186341991366392,,21.488742793161265,,13.791815985364197,,28.428508401831817,,114.387443902439,,20.019999999999996,,751.6537702639291
10,64,39669,,2.404024777369303,,11.691707989011771,,27.349309009477977,,17.553220345008974,,36.18173796596776,,144.2279863414634,,20.019999999999996,,941.3080117363534
11,71,39676,,0.831756364769834,,7.7944719926745165,,27.846569173286674,,17.87236980582733,,36.83958774716719,,144.2279863414634,,20.019999999999996,,897.4770030140762
12,78,39683,,0.831756364769834,,7.7944719926745165,,27.846569173286674,,17.87236980582733,,36.83958774716719,,144.2279863414634,,20.019999999999996,,897.4770030140762
13,85,39690,,0.0,,9.464715991104768,,30.190795659813357,,19.37693154968524,,39.94087957282157,,174.06804048780486,,20.019999999999996,,975.3262226782308
14,92,39697,,0.0,,9.464715991104768,,30.190795659813357,,19.37693154968524,,39.94087957282157,,174.06804048780486,,20.019999999999996,,975.3262226782308
15,99,39704,,0.0,,9.464715991104768,,30.190795659813357,,19.37693154968524,,39.94087957282157,,174.06804048780486,,20.019999999999996,,975.3262226782308
16,106,39711,,0.0,,9.464715991104768,,30.190795659813357,,19.37693154968524,,39.94087957282157,,174.06804048780486,,20.019999999999996,,975.3262226782308
17,113,39718,,0.0,,9.464715991104768,,30.190795659813357,,19.37693154968524,,39.94087957282157,,174.06804048780486,,20.019999999999996,,975.3262226782308
18,120,39725,,0.0,,9.464715991104768,,30.190795659813357,,19.37693154968524,,39.94087957282157,,174.06804048780486,,20.019999999999996,,975.3262226782308
19,127,39732,,0.0,,9.464715991104768,,30.190795659813357,,19.37693154968524,,39.94087957282157,,174.06804048780486,,20.019999999999996,,975.3262226782308
20,134,39739,,0.0,,9.464715991104768,,30.190795659813357,,19.37693154968524,,39.94087957282157,,174.06804048780486,,20.019999999999996,,975.3262226782308
21,141,39746,,0.0,,9.464715991104768,,30.190795659813357,,19.37693154968524,,39.94087957282157,,174.06804048780486,,20.019999999999996,,975.3262226782308
22,148,39753,,0.0,,9.464715991104768,,30.190795659813357,,19.37693154968524,,39.94087957282157,,174.06804048780486,,20.019999999999996,,975.3262226782308
