Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
2,1,39606,,16.782432662979456,,31.233562770645737,,59.77777540643046,,38.36632446837678,,79.0829415541867,,427.70923317073175,,20.019999999999996,,2138.5401350315583
4,15,39620,,16.86631584068724,,60.17054004344987,,115.16012615062334,,73.91159566701997,,152.35096093527144,,790.7621673170731,,20.019999999999996,,3966.05259693351
6,29,39634,,21.242737733801196,,91.86341991366393,,175.81698648950137,,112.8421307893435,,232.59688692407852,,1084.1943307317076,,20.019999999999996,,5991.295549073571
8,43,39648,,26.820338080199146,,127.69015367999285,,289.31661887883496,,185.68799522113068,,382.7510994828448,,1452.2239439024388,,20.019999999999996,,9474.950317798795
10,57,39662,,24.974527402767865,,142.08208946646687,,385.23455261921845,,247.2496465739837,,509.64562334920316,,1840.148554146341,,20.019999999999996,,12188.787844832734
12,71,39676,,5.335321339514051,,127.38394228028065,,439.1517618093322,,281.8545666827157,,580.975335339254,,2138.5520253658533,,20.019999999999996,,13323.13081346339
14,85,39690,,0,,145.75662626301343,,464.9382531611258,,298.4047458651528,,615.0895454214522,,2436.952566829269,,20.019999999999996,,14203.069618977439
16,99,39704,,0,,145.75662626301343,,464.9382531611258,,298.4047458651528,,615.0895454214522,,2436.952566829269,,20.019999999999996,,14203.069618977439
18,113,39718,,0,,145.75662626301343,,464.9382531611258,,298.4047458651528,,615.0895454214522,,2436.952566829269,,20.019999999999996,,14203.069618977439
20,127,39732,,0,,145.75662626301343,,464.9382531611258,,298.4047458651528,,615.0895454214522,,2436.952566829269,,20.019999999999996,,14203.069618977439
22,141,39746,,0,,145.75662626301343,,464.9382531611258,,298.4047458651528,,615.0895454214522,,2436.952566829269,,20.019999999999996,,14203.069618977439
