Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl (Lbs),Admin_Kcl_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39606,,6.91041344946213,,12.86087878791295,,24.61437810853019,,15.797898310508087,,32.563564169371,,174.06755219512195,,20.019999999999996,,913.4675467897523
2,8,39613,,9.872019213517326,,18.372683982732788,,35.16339729790027,,22.56842615786869,,46.519377384815705,,253.64168097560975,,20.019999999999996,,1281.128588241806
3,15,39620,,9.431357633856829,,28.018343073667506,,53.624180879297896,,34.41684989074976,,70.94205051184396,,373.00140926829266,,20.019999999999996,,1887.187045066053
4,22,39627,,7.434958206830412,,32.15219696978239,,61.53594527132546,,39.494745776270214,,81.4089104234275,,417.7607580487805,,20.019999999999996,,2134.9215518674578
5,29,39634,,9.346804602872522,,40.41990476201214,,77.35947405538059,,49.65053754731113,,102.34263024659457,,492.36260243902444,,20.019999999999996,,2668.1740854690543
6,36,39641,,11.895933130928672,,51.4435151516518,,98.45751243412076,,63.19159324203235,,130.254256677484,,591.831728292683,,20.019999999999996,,3379.1774636045175
7,43,39648,,12.275988177114902,,56.95532034647163,,123.85329937149315,,79.49101213382639,,163.85158478873979,,651.5118365853659,,20.019999999999996,,4122.050335195808
8,50,39655,,14.544349903084246,,70.73483333352121,,165.4633195073418,,106.19698308730433,,218.89951469410502,,800.7121073170731,,20.019999999999996,,5408.955982602986
9,57,39662,,15.111012886321303,,73.49073593093114,,171.90994234529018,,110.33452788291359,,227.42806721465456,,830.5526497560975,,20.019999999999996,,5617.456286052897
10,64,39669,,9.863514516446562,,68.59135353553575,,213.32461027392824,,136.91511869107006,,282.2175561345486,,1009.595904390244,,20.019999999999996,,6627.387558779837
11,71,39676,,6.40452400872773,,60.017434343593784,,214.4185826343074,,137.61724750487042,,283.66482565318734,,1009.595904390244,,20.019999999999996,,6530.959339590827
12,78,39683,,0.0,,67.36650793668687,,224.73317917502482,,144.23731917784528,,297.3105096860666,,1128.9561209756096,,20.019999999999996,,6855.1772912224515
13,85,39690,,0.0,,72.87831313150672,,232.4691265805629,,149.2023729325764,,307.5447727107261,,1218.4762834146343,,20.019999999999996,,7129.562809488719
14,92,39697,,0.0,,72.87831313150672,,232.4691265805629,,149.2023729325764,,307.5447727107261,,1218.4762834146343,,20.019999999999996,,7129.562809488719
15,99,39704,,0.0,,72.87831313150672,,232.4691265805629,,149.2023729325764,,307.5447727107261,,1218.4762834146343,,20.019999999999996,,7129.562809488719
16,106,39711,,0.0,,72.87831313150672,,232.4691265805629,,149.2023729325764,,307.5447727107261,,1218.4762834146343,,20.019999999999996,,7129.562809488719
17,113,39718,,0.0,,72.87831313150672,,232.4691265805629,,149.2023729325764,,307.5447727107261,,1218.4762834146343,,20.019999999999996,,7129.562809488719
18,120,39725,,0.0,,72.87831313150672,,232.4691265805629,,149.2023729325764,,307.5447727107261,,1218.4762834146343,,20.019999999999996,,7129.562809488719
19,127,39732,,0.0,,72.87831313150672,,232.4691265805629,,149.2023729325764,,307.5447727107261,,1218.4762834146343,,20.019999999999996,,7129.562809488719
20,134,39739,,0.0,,72.87831313150672,,232.4691265805629,,149.2023729325764,,307.5447727107261,,1218.4762834146343,,20.019999999999996,,7129.562809488719
21,141,39746,,0.0,,72.87831313150672,,232.4691265805629,,149.2023729325764,,307.5447727107261,,1218.4762834146343,,20.019999999999996,,7129.562809488719
22,148,39753,,0.0,,72.87831313150672,,232.4691265805629,,149.2023729325764,,307.5447727107261,,1218.4762834146343,,20.019999999999996,,7129.562809488719
