Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39606,,1.9744038427034656,,3.674536796546557,,7.032679459580054,,4.513685231573739,,9.303875476963142,,49.733586341463415,,20.019999999999996,,301.0307276542149
2,8,39613,,1.9744038427034656,,3.674536796546557,,7.032679459580054,,4.513685231573739,,9.303875476963142,,49.733586341463415,,20.019999999999996,,301.0307276542149
3,15,39620,,3.4552067247310636,,6.430439393956475,,12.307189054265091,,7.8989491552540425,,16.281782084685496,,89.5206507317073,,20.019999999999996,,484.86124838024176
4,22,39627,,2.1242737733801182,,9.186341991366396,,17.581698648950134,,11.284213078934346,,23.25968869240786,,119.36021658536585,,20.019999999999996,,650.017586247845
5,29,39634,,2.1242737733801182,,9.186341991366396,,17.581698648950134,,11.284213078934346,,23.25968869240786,,119.36021658536585,,20.019999999999996,,650.017586247845
6,36,39641,,3.3988380374081917,,14.698147186186228,,28.130717838320216,,18.054740926294954,,37.21550190785257,,169.09477951219515,,20.019999999999996,,1005.5192753155764
7,43,39648,,3.3988380374081917,,14.698147186186228,,28.130717838320216,,18.054740926294954,,37.21550190785257,,169.09477951219515,,20.019999999999996,,1005.5192753155764
8,50,39655,,4.155528543738356,,20.20995238100606,,47.275234144954794,,30.34199516780124,,62.542718484030004,,228.774887804878,,20.019999999999996,,1585.4559950294247
9,57,39662,,4.155528543738356,,20.20995238100606,,47.275234144954794,,30.34199516780124,,62.542718484030004,,228.774887804878,,20.019999999999996,,1585.4559950294247
10,64,39669,,5.288854510212468,,25.7217575758259,,60.168479820851545,,38.617084759019754,,79.59982352512908,,288.4559726829268,,20.019999999999996,,2002.4566019292456
11,71,39676,,1.8298640024936366,,17.147838383883936,,61.26245218123069,,39.319213572820125,,81.04709304376783,,288.4559726829268,,20.019999999999996,,1906.0283827402366
12,78,39683,,1.8298640024936366,,17.147838383883936,,61.26245218123069,,39.319213572820125,,81.04709304376783,,288.4559726829268,,20.019999999999996,,1906.0283827402366
13,85,39690,,0.0,,20.82237518043049,,66.4197504515894,,42.62924940930753,,87.86993506020745,,348.13608097560973,,20.019999999999996,,2077.0579455682055
14,92,39697,,0.0,,20.82237518043049,,66.4197504515894,,42.62924940930753,,87.86993506020745,,348.13608097560973,,20.019999999999996,,2077.0579455682055
15,99,39704,,0.0,,20.82237518043049,,66.4197504515894,,42.62924940930753,,87.86993506020745,,348.13608097560973,,20.019999999999996,,2077.0579455682055
16,106,39711,,0.0,,20.82237518043049,,66.4197504515894,,42.62924940930753,,87.86993506020745,,348.13608097560973,,20.019999999999996,,2077.0579455682055
17,113,39718,,0.0,,20.82237518043049,,66.4197504515894,,42.62924940930753,,87.86993506020745,,348.13608097560973,,20.019999999999996,,2077.0579455682055
18,120,39725,,0.0,,20.82237518043049,,66.4197504515894,,42.62924940930753,,87.86993506020745,,348.13608097560973,,20.019999999999996,,2077.0579455682055
19,127,39732,,0.0,,20.82237518043049,,66.4197504515894,,42.62924940930753,,87.86993506020745,,348.13608097560973,,20.019999999999996,,2077.0579455682055
20,134,39739,,0.0,,20.82237518043049,,66.4197504515894,,42.62924940930753,,87.86993506020745,,348.13608097560973,,20.019999999999996,,2077.0579455682055
21,141,39746,,0.0,,20.82237518043049,,66.4197504515894,,42.62924940930753,,87.86993506020745,,348.13608097560973,,20.019999999999996,,2077.0579455682055
22,148,39753,,0.0,,20.82237518043049,,66.4197504515894,,42.62924940930753,,87.86993506020745,,348.13608097560973,,20.019999999999996,,2077.0579455682055
