Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39606,,0.9872019213517328,,1.8372683982732785,,3.516339729790027,,2.2568426157868693,,4.651937738481571,,24.866793170731707,,20.019999999999996,,178.54336382710744
2,8,39613,,0.9872019213517328,,1.8372683982732785,,3.516339729790027,,2.2568426157868693,,4.651937738481571,,24.866793170731707,,20.019999999999996,,178.54336382710744
3,15,39620,,1.7276033623655318,,3.2152196969782376,,6.153594527132546,,3.9494745776270213,,8.140891042342748,,44.76032536585365,,20.019999999999996,,270.4586241901209
4,22,39627,,1.0621368866900591,,4.593170995683198,,8.790849324475067,,5.642106539467173,,11.62984434620393,,59.680108292682924,,20.019999999999996,,353.0367931239225
5,29,39634,,1.0621368866900591,,4.593170995683198,,8.790849324475067,,5.642106539467173,,11.62984434620393,,59.680108292682924,,20.019999999999996,,353.0367931239225
6,36,39641,,1.6994190187040958,,7.349073593093114,,14.065358919160108,,9.027370463147477,,18.607750953926285,,84.54738975609757,,20.019999999999996,,530.7876376577882
7,43,39648,,1.6994190187040958,,7.349073593093114,,14.065358919160108,,9.027370463147477,,18.607750953926285,,84.54738975609757,,20.019999999999996,,530.7876376577882
8,50,39655,,2.077764271869178,,10.10497619050303,,23.637617072477397,,15.17099758390062,,31.271359242015002,,114.387443902439,,20.019999999999996,,820.7559975147124
9,57,39662,,2.077764271869178,,10.10497619050303,,23.637617072477397,,15.17099758390062,,31.271359242015002,,114.387443902439,,20.019999999999996,,820.7559975147124
10,64,39669,,2.644427255106234,,12.86087878791295,,30.084239910425772,,19.308542379509877,,39.79991176256454,,144.2279863414634,,20.019999999999996,,1029.2563009646228
11,71,39676,,0.9149320012468183,,8.573919191941968,,30.631226090615346,,19.659606786410063,,40.523546521883915,,144.2279863414634,,20.019999999999996,,981.0421913701182
12,78,39683,,0.9149320012468183,,8.573919191941968,,30.631226090615346,,19.659606786410063,,40.523546521883915,,144.2279863414634,,20.019999999999996,,981.0421913701182
13,85,39690,,0.0,,10.411187590215246,,33.2098752257947,,21.314624704653767,,43.93496753010373,,174.06804048780486,,20.019999999999996,,1066.5569727841028
14,92,39697,,0.0,,10.411187590215246,,33.2098752257947,,21.314624704653767,,43.93496753010373,,174.06804048780486,,20.019999999999996,,1066.5569727841028
15,99,39704,,0.0,,10.411187590215246,,33.2098752257947,,21.314624704653767,,43.93496753010373,,174.06804048780486,,20.019999999999996,,1066.5569727841028
16,106,39711,,0.0,,10.411187590215246,,33.2098752257947,,21.314624704653767,,43.93496753010373,,174.06804048780486,,20.019999999999996,,1066.5569727841028
17,113,39718,,0.0,,10.411187590215246,,33.2098752257947,,21.314624704653767,,43.93496753010373,,174.06804048780486,,20.019999999999996,,1066.5569727841028
18,120,39725,,0.0,,10.411187590215246,,33.2098752257947,,21.314624704653767,,43.93496753010373,,174.06804048780486,,20.019999999999996,,1066.5569727841028
19,127,39732,,0.0,,10.411187590215246,,33.2098752257947,,21.314624704653767,,43.93496753010373,,174.06804048780486,,20.019999999999996,,1066.5569727841028
20,134,39739,,0.0,,10.411187590215246,,33.2098752257947,,21.314624704653767,,43.93496753010373,,174.06804048780486,,20.019999999999996,,1066.5569727841028
21,141,39746,,0.0,,10.411187590215246,,33.2098752257947,,21.314624704653767,,43.93496753010373,,174.06804048780486,,20.019999999999996,,1066.5569727841028
22,148,39753,,0.0,,10.411187590215246,,33.2098752257947,,21.314624704653767,,43.93496753010373,,174.06804048780486,,20.019999999999996,,1066.5569727841028
