Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Sulfato de Potasio (Lbs),Sulfato de Potasio (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,3,39944,,5.0483643115952015,,6.510792242052458,,19.066543559055123,,10.605582082578856,,21.86085426754976,,116.85653853658536,,26.879999999999995,,737.6656228144757
2,10,39951,,7.211949016564573,,9.301131774360652,,27.23791937007874,,15.15083154654122,,31.22979181078537,,170.27693268292683,,26.879999999999995,,1021.68559341162
3,17,39958,,10.99822225026097,,14.1842259559,,41.53782703937008,,23.105018108475363,,47.6254325114477,,250.40654048780485,,26.879999999999995,,1518.1862986785745
4,24,39965,,12.620910778988,,16.276980605131143,,47.6663588976378,,26.513955206447136,,54.65213566887441,,280.4547746341463,,26.879999999999995,,1730.8005941678962
5,31,39972,,15.86628783644206,,20.462489903593443,,59.92342261417323,,33.33182940239069,,68.70554198372781,,330.53713170731714,,26.879999999999995,,2155.6286206977597
6,38,39979,,20.193457246380806,,26.043168968209834,,76.2661742362205,,42.42232833031542,,87.44341707019905,,397.3136078048781,,26.879999999999995,,2722.065989404244
7,45,39986,,23.565849278595326,,31.623848032826217,,105.92524199475065,,58.91990045877141,,121.44919037527644,,437.3785756097561,,26.879999999999995,,3587.1508210680895
8,52,39993,,26.095143302756213,,35.80935733128851,,128.1695428136483,,71.2930795551134,,146.9535203540845,,537.5409951219511,,26.879999999999995,,4238.768992562315
9,59,40000,,26.095143302756213,,35.80935733128851,,128.1695428136483,,71.2930795551134,,146.9535203540845,,557.5738068292683,,26.879999999999995,,4239.570305030607
10,66,40007,,16.66925796762668,,30.38369712957814,,166.09077944776902,,92.38640391935357,,190.43233050843347,,677.7706770731708,,26.879999999999995,,4898.960216317033
11,73,40014,,16.66925796762668,,30.38369712957814,,166.09077944776902,,92.38640391935357,,190.43233050843347,,677.7706770731708,,26.879999999999995,,4898.960216317033
12,80,40021,,11.098007640761947,,34.1041498393224,,174.08056912965878,,96.83064783967235,,199.59306943959717,,757.9006126829267,,26.879999999999995,,5158.898116116021
13,87,40028,,6.919569895613395,,36.8944893716306,,180.07291139107616,,100.16383077991142,,206.46362363797,,817.9980643902439,,26.879999999999995,,5353.851540965263
14,94,40035,,6.919569895613395,,36.8944893716306,,180.07291139107616,,100.16383077991142,,206.46362363797,,817.9980643902439,,26.879999999999995,,5353.851540965263
15,101,40042,,6.919569895613395,,36.8944893716306,,180.07291139107616,,100.16383077991142,,206.46362363797,,817.9980643902439,,26.879999999999995,,5353.851540965263
16,108,40049,,6.919569895613395,,36.8944893716306,,180.07291139107616,,100.16383077991142,,206.46362363797,,817.9980643902439,,26.879999999999995,,5353.851540965263
17,115,40056,,6.919569895613395,,36.8944893716306,,180.07291139107616,,100.16383077991142,,206.46362363797,,817.9980643902439,,26.879999999999995,,5353.851540965263
18,122,40063,,6.919569895613395,,36.8944893716306,,180.07291139107616,,100.16383077991142,,206.46362363797,,817.9980643902439,,26.879999999999995,,5353.851540965263
19,129,40070,,6.919569895613395,,36.8944893716306,,180.07291139107616,,100.16383077991142,,206.46362363797,,817.9980643902439,,26.879999999999995,,5353.851540965263
20,136,40077,,6.919569895613395,,36.8944893716306,,180.07291139107616,,100.16383077991142,,206.46362363797,,817.9980643902439,,26.879999999999995,,5353.851540965263
21,143,40084,,6.919569895613395,,36.8944893716306,,180.07291139107616,,100.16383077991142,,206.46362363797,,817.9980643902439,,26.879999999999995,,5353.851540965263
22,150,40091,,6.919569895613395,,36.8944893716306,,180.07291139107616,,100.16383077991142,,206.46362363797,,817.9980643902439,,26.879999999999995,,5353.851540965263
