Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
2,1,39953,,8.763222290881677,,27.418695652173906,,23.12309999999999,,14.840772365364568,,30.590679452666674,,427.70923317073175,,20.019999999999996,,1114.5140945303328
4,15,39967,,8.763222290881677,,27.418695652173906,,23.12309999999999,,14.840772365364568,,30.590679452666674,,790.7621673170731,,20.019999999999996,,1129.0362118961866
6,29,39981,,8.763222290881677,,27.418695652173906,,23.12309999999999,,14.840772365364568,,30.590679452666674,,1084.1943307317076,,20.019999999999996,,1140.773498432772
8,43,39995,,0,,46.569131304347835,,23.12309999999999,,14.840772365364568,,30.590679452666674,,1452.2239439024388,,20.019999999999996,,1330.9679325822217
10,57,40009,,0,,46.569131304347835,,24.774749999999994,,15.900827534319186,,32.775727984999996,,1840.148554146341,,20.019999999999996,,1393.4844455044029
12,71,40023,,0,,46.569131304347835,,24.774749999999994,,15.900827534319186,,32.775727984999996,,2138.5520253658533,,20.019999999999996,,1405.4205843531834
14,85,40037,,11.551167423502992,,46.569131304347835,,49.10883978,,31.518832349561283,,64.96848502157346,,2436.952566829269,,20.019999999999996,,2181.427297516699
16,99,40051,,15.061516923385998,,69.64348695652174,,70.46995956,,45.22873786068508,,93.22815469994693,,2436.952566829269,,20.019999999999996,,3087.9380343989565
18,113,40065,,9.1794148968629,,69.64348695652174,,80.07949949999997,,51.39629302350577,,105.94108488630333,,2436.952566829269,,20.019999999999996,,3324.919095014858
20,127,40079,,0,,69.64348695652174,,59.55949999999999,,38.22623185018148,,78.79417434777777,,2436.952566829269,,20.019999999999996,,2684.087428872213
22,141,40093,,0,,69.64348695652174,,59.55949999999999,,38.22623185018148,,78.79417434777777,,2436.952566829269,,20.019999999999996,,2684.087428872213
24,155,40107,,0,,62.712650000000004,,72.79494444444443,,46.72095003911071,,96.30399086950614,,2436.952566829269,,20.019999999999996,,2977.5466037763476
26,169,40121,,0,,55.781813043478266,,72.79494444444443,,46.72095003911071,,96.30399086950614,,2436.952566829269,,20.019999999999996,,2894.376560298087
28,183,40135,,2.027756203791116,,45.652128260869574,,72.79494444444443,,46.72095003911071,,96.30399086950614,,2436.952566829269,,20.019999999999996,,2785.3924313702873
30,197,40149,,11.82482447114997,,27.418695652173906,,72.79494444444443,,46.72095003911071,,96.30399086950614,,2436.952566829269,,20.019999999999996,,2627.333063323564
32,211,40163,,11.82482447114997,,27.418695652173906,,72.79494444444443,,46.72095003911071,,96.30399086950614,,2436.952566829269,,20.019999999999996,,2627.333063323564
34,225,40177,,11.82482447114997,,27.418695652173906,,72.79494444444443,,46.72095003911071,,96.30399086950614,,2436.952566829269,,20.019999999999996,,2627.333063323564
36,239,40191,,11.82482447114997,,27.418695652173906,,72.79494444444443,,46.72095003911071,,96.30399086950614,,2436.952566829269,,20.019999999999996,,2627.333063323564
38,253,40205,,11.82482447114997,,27.418695652173906,,72.79494444444443,,46.72095003911071,,96.30399086950614,,2436.952566829269,,20.019999999999996,,2627.333063323564
40,267,40219,,11.82482447114997,,27.418695652173906,,72.79494444444443,,46.72095003911071,,96.30399086950614,,2436.952566829269,,20.019999999999996,,2627.333063323564
42,281,40233,,11.82482447114997,,27.418695652173906,,72.79494444444443,,46.72095003911071,,96.30399086950614,,2436.952566829269,,20.019999999999996,,2627.333063323564
44,295,40247,,5.912412235574984,,13.709347826086956,,36.39747222222221,,23.36047501955535,,48.151995434753076,,1218.4762834146343,,20.019999999999996,,1341.694531661782
