Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,FofatoMonoPotasico (Lbs),Admin_FofatoMonoPotasico_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,3,39242,Furadan 48 SC,9.650158552680256,,4.593576800312499,,5.5350810410729165,,2.350425031104368,,6.459780478078148,,87.03377609756097,,20.019999999999996,3.788785,1649.913504266953
2,10,39249,,9.650158552680256,,4.593576800312499,,5.5350810410729165,,2.350425031104368,,6.459780478078148,,126.82084048780487,,20.019999999999996,,200.06612050168482
3,17,39256,,13.786385887154362,,6.550723867187499,,7.918687704010417,,3.3591641339380334,,9.232144232601847,,186.50070463414633,,20.019999999999996,,264.46392810351244
4,24,39263,,14.475757109566713,,6.876915045,,8.315955481166666,,3.5272873177436446,,9.694204858355794,,208.88037902439024,,20.019999999999996,,275.5897797967113
5,31,39270,BaZam,35.15512627952468,,16.70113710577421,,20.19558111909059,,8.566188891460813,,23.542848225449887,,246.18130121951222,,20.019999999999996,1.001,969.9158859597478
6,38,39277,,43.42687394750787,,20.630825930083894,,24.947431374260162,,10.58174952094768,,29.082305572287524,,295.9158641463415,,20.019999999999996,,716.214456956904
7,45,39284,,43.42687394750787,,20.630825930083894,,24.947431374260162,,10.58174952094768,,29.082305572287524,,325.75591829268296,,20.019999999999996,,717.1574026679283
8,52,39291,,43.42687394750787,,20.630825930083894,,24.947431374260162,,10.58174952094768,,29.082305572287524,,400.35605365853655,,20.019999999999996,,719.5147669454893
9,59,39298,TricoZam,55.83455221822442,,23.637847624393576,,33.711518909763065,,13.605106526932731,,37.39153573579824,,415.27632487804874,,20.019999999999996,1.001,1260.98100198742
10,66,39305,,72.37812324584648,,27.647209883473145,,45.39696895710027,,17.636249201579467,,48.47050928714586,,504.797952195122,,20.019999999999996,,1097.5828913724986
11,73,39312,,67.604221036636,,27.647209883473145,,45.39696895710027,,17.636249201579467,,48.47050928714586,,504.797952195122,,20.019999999999996,,1082.3064043030251
12,80,39319,,61.23901809102205,,27.647209883473145,,45.39696895710027,,17.636249201579467,,48.47050928714586,,564.4780604878048,,20.019999999999996,,1063.8236462991092
13,87,39326,BaZam,47.64334644923101,,27.647209883473145,,45.39696895710027,,17.636249201579467,,48.47050928714586,,609.2381417073171,,20.019999999999996,1.001,1402.1119156119144
14,94,39333,,36.033238985051895,,27.647209883473145,,45.39696895710027,,17.636249201579467,,48.47050928714586,,609.2381417073171,,20.019999999999996,,984.5795717265413
15,101,39340,,25.837233015648916,,27.647209883473145,,45.39696895710027,,17.636249201579467,,48.47050928714586,,609.2381417073171,,20.019999999999996,,951.9523526244517
16,108,39347,,25.837233015648916,,27.647209883473145,,45.39696895710027,,17.636249201579467,,48.47050928714586,,609.2381417073171,,20.019999999999996,,951.9523526244517
17,115,39354,,25.837233015648916,,27.647209883473145,,45.39696895710027,,17.636249201579467,,48.47050928714586,,609.2381417073171,,20.019999999999996,,951.9523526244517
18,122,39361,,25.837233015648916,,27.647209883473145,,45.39696895710027,,17.636249201579467,,48.47050928714586,,609.2381417073171,,20.019999999999996,,951.9523526244517
