Fase,Día después Siembra,Semana,N,P2O5,K20,MgO,Ca,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O
,1.0,1,1.2085255,0.681792475,1.3937104999999999,0.10734066076115283,0.49782809450009996,5.0926,2.9157389560902356,0.3,0.3
,2.0,1,1.2085255,0.681792475,1.3937104999999999,0.10734066076115283,0.49782809450009996,5.0926,2.9157389560902356,0.3,0.3
,3.0,1,1.2085255,0.681792475,1.3937104999999999,0.10734066076115283,0.49782809450009996,5.0926,2.9157389560902356,0.3,0.3
,4.0,1,1.2085255,0.681792475,1.3937104999999999,0.10734066076115283,0.49782809450009996,5.0926,2.9157389560902356,0.3,0.3
,5.0,1,1.2085255,0.681792475,1.3937104999999999,0.10734066076115283,0.49782809450009996,5.0926,2.9157389560902356,0.3,0.3
,6.0,1,1.2085255,0.681792475,1.3937104999999999,0.10734066076115283,0.49782809450009996,5.0926,2.9157389560902356,0.3,0.3
,7.0,1,1.2085255,0.681792475,1.3937104999999999,0.10734066076115283,0.49782809450009996,5.0926,2.9157389560902356,0.3,0.3
,8.0,2,1.2085255,0.681792475,1.3937104999999999,0.10734066076115283,0.49782809450009996,5.0926,2.9157389560902356,0.3,0.3
,9.0,2,1.2085255,0.681792475,1.3937104999999999,0.10734066076115283,0.49782809450009996,5.0926,2.9157389560902356,0.3,0.3
,10.0,2,1.2085255,0.681792475,1.3937104999999999,0.10734066076115283,0.49782809450009996,5.0926,2.9157389560902356,0.3,0.3
,11.0,2,1.2085255,0.681792475,1.3937104999999999,0.10734066076115283,0.49782809450009996,9.1667,2.9157389560902356,0.3,0.3
,12.0,2,1.2085255,0.681792475,1.3937104999999999,0.10734066076115283,0.49782809450009996,9.1667,2.9157389560902356,0.3,0.3
,13.0,2,1.2085255,0.681792475,1.3937104999999999,0.10734066076115283,0.49782809450009996,9.1667,2.9157389560902356,0.3,0.3
,14.0,2,1.2085255,0.681792475,1.3937104999999999,0.10734066076115283,0.49782809450009996,9.1667,2.9157389560902356,0.3,0.3
,15.0,3,1.2085255,0.681792475,1.3937104999999999,0.10734066076115283,0.49782809450009996,9.1667,2.9157389560902356,0.3,0.3
,16.0,3,1.8130384999999998,1.0206924,2.091544,0.1610863339058037,0.7470915689328,9.1667,2.9147775371562825,0.3,0.30000000000000004
,17.0,3,1.8130384999999998,1.0206924,2.091544,0.1610863339058037,0.7470915689328,9.1667,2.9147775371562825,0.3,0.30000000000000004
,18.0,3,1.8130384999999998,1.0206924,2.091544,0.1610863339058037,0.7470915689328,12.2222,2.9147775371562825,0.3,0.30000000000000004
,19.0,3,1.8130384999999998,1.0206924,2.091544,0.1610863339058037,0.7470915689328,12.2222,2.9147775371562825,0.3,0.30000000000000004
,20.0,3,1.8130384999999998,1.0206924,2.091544,0.1610863339058037,0.7470915689328,12.2222,2.9147775371562825,0.3,0.30000000000000004
,21.0,3,1.8130384999999998,1.0206924,2.091544,0.1610863339058037,0.7470915689328,12.2222,2.9147775371562825,0.3,0.30000000000000004
,22.0,4,1.8130384999999998,1.0206924,2.091544,0.1610863339058037,0.7470915689328,12.2222,2.9147775371562825,0.3,0.30000000000000004
,23.0,4,1.8130384999999998,1.0206924,2.091544,0.1610863339058037,0.7470915689328,12.2222,2.9147775371562825,0.3,0.30000000000000004
,24.0,4,1.8130384999999998,1.0206924,2.091544,0.1610863339058037,0.7470915689328,12.2222,2.9147775371562825,0.3,0.30000000000000004
,25.0,4,1.8130384999999998,1.0206924,2.091544,0.1610863339058037,0.7470915689328,12.2222,2.9147775371562825,0.3,0.30000000000000004
