Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,MAP 12-61-0 (Lbs),Admin_MAP 12-61-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,38520,,6.548823349991425,,4.810739249873934,,9.406961280383333,,5.689433749999999,,5.226089600212962,,49.733586341463415,,20.019999999999996,,192.584666285063
2,8,38527,,6.548823349991425,,4.810739249873934,,9.406961280383333,,5.689433749999999,,5.226089600212962,,49.733586341463415,,20.019999999999996,,192.584666285063
3,15,38534,,12.143425860236762,,13.279325052107868,,18.813922560766667,,11.378867499999998,,10.452179200425924,,89.5206507317073,,20.019999999999996,,396.9540643752331
4,22,38541,,12.143425860236762,,13.279325052107868,,18.813922560766667,,11.378867499999998,,10.452179200425924,,119.36021658536585,,20.019999999999996,,397.3210910352331
5,29,38548,,12.143425860236762,,13.279325052107868,,18.813922560766667,,11.378867499999998,,10.452179200425924,,119.36021658536585,,20.019999999999996,,397.3210910352331
6,36,38555,,12.143425860236762,,13.279325052107868,,18.813922560766667,,11.378867499999998,,10.452179200425924,,169.09477951219515,,20.019999999999996,,397.9328261592331
7,43,38562,,12.143425860236762,,13.279325052107868,,18.813922560766667,,11.378867499999998,,10.452179200425924,,169.09477951219515,,20.019999999999996,,397.9328261592331
8,50,38569,,12.993771652788173,,5.945785311203442,,18.813922560766667,,11.378867499999998,,10.452179200425924,,228.774887804878,,20.019999999999996,,313.30048655728945
9,57,38576,,12.993771652788173,,5.945785311203442,,18.813922560766667,,11.378867499999998,,10.452179200425924,,228.774887804878,,20.019999999999996,,313.30048655728945
10,64,38583,,12.993771652788173,,5.945785311203442,,18.813922560766667,,11.378867499999998,,10.452179200425924,,288.4559726829268,,20.019999999999996,,314.03456390128946
11,71,38590,,12.993771652788173,,5.945785311203442,,18.813922560766667,,11.378867499999998,,10.452179200425924,,288.4559726829268,,20.019999999999996,,314.03456390128946
12,78,38597,,9.351671530686184,,5.945785311203442,,14.102824947878332,,8.529520999999997,,7.834902748821295,,288.4559726829268,,20.019999999999996,,260.2183532341647
13,85,38604,,9.351671530686184,,5.945785311203442,,14.102824947878332,,8.529520999999997,,7.834902748821295,,348.13608097560973,,20.019999999999996,,260.9524185661647
14,92,38611,,9.351671530686184,,5.945785311203442,,14.102824947878332,,8.529520999999997,,7.834902748821295,,348.13608097560973,,20.019999999999996,,260.9524185661647
15,99,38618,,9.351671530686184,,5.945785311203442,,14.102824947878332,,8.529520999999997,,7.834902748821295,,348.13608097560973,,20.019999999999996,,260.9524185661647
16,106,38625,,9.351671530686184,,5.945785311203442,,14.102824947878332,,8.529520999999997,,7.834902748821295,,348.13608097560973,,20.019999999999996,,260.9524185661647
17,113,38632,,9.351671530686184,,5.945785311203442,,14.102824947878332,,8.529520999999997,,7.834902748821295,,348.13608097560973,,20.019999999999996,,260.9524185661647
