Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),",@ Melaza (Lts)",",@ Melaza (Cambios)",Admin_Costo / Aplicación (Costo / Aplicación)
1,1,38520,,3.2744116749957124,,2.405369624936967,,4.703480640191667,,2.8447168749999996,,2.613044800106481,,24.866793170731707,,20.019999999999996,,110.8068331425315
2,8,38527,,3.2744116749957124,,2.405369624936967,,4.703480640191667,,2.8447168749999996,,2.613044800106481,,24.866793170731707,,20.019999999999996,,110.8068331425315
3,15,38534,,6.071712930118381,,6.639662526053934,,9.406961280383333,,5.689433749999999,,5.226089600212962,,44.76032536585365,,20.019999999999996,,212.99153218761654
4,22,38541,,6.071712930118381,,6.639662526053934,,9.406961280383333,,5.689433749999999,,5.226089600212962,,59.680108292682924,,20.019999999999996,,213.17504551761655
5,29,38548,,6.071712930118381,,6.639662526053934,,9.406961280383333,,5.689433749999999,,5.226089600212962,,59.680108292682924,,20.019999999999996,,213.17504551761655
6,36,38555,,6.071712930118381,,6.639662526053934,,9.406961280383333,,5.689433749999999,,5.226089600212962,,84.54738975609757,,20.019999999999996,,213.48091307961656
7,43,38562,,6.071712930118381,,6.639662526053934,,9.406961280383333,,5.689433749999999,,5.226089600212962,,84.54738975609757,,20.019999999999996,,213.48091307961656
8,50,38569,,6.496885826394086,,2.972892655601721,,9.406961280383333,,5.689433749999999,,5.226089600212962,,114.387443902439,,20.019999999999996,,171.16474327864472
9,57,38576,,6.496885826394086,,2.972892655601721,,9.406961280383333,,5.689433749999999,,5.226089600212962,,114.387443902439,,20.019999999999996,,171.16474327864472
10,64,38583,,6.496885826394086,,2.972892655601721,,9.406961280383333,,5.689433749999999,,5.226089600212962,,144.2279863414634,,20.019999999999996,,171.53178195064473
11,71,38590,,6.496885826394086,,2.972892655601721,,9.406961280383333,,5.689433749999999,,5.226089600212962,,144.2279863414634,,20.019999999999996,,171.53178195064473
12,78,38597,,4.675835765343092,,2.972892655601721,,7.051412473939166,,4.264760499999999,,3.9174513744106476,,144.2279863414634,,20.019999999999996,,144.62367661708234
13,85,38604,,4.675835765343092,,2.972892655601721,,7.051412473939166,,4.264760499999999,,3.9174513744106476,,174.06804048780486,,20.019999999999996,,144.99070928308234
14,92,38611,,4.675835765343092,,2.972892655601721,,7.051412473939166,,4.264760499999999,,3.9174513744106476,,174.06804048780486,,20.019999999999996,,144.99070928308234
15,99,38618,,4.675835765343092,,2.972892655601721,,7.051412473939166,,4.264760499999999,,3.9174513744106476,,174.06804048780486,,20.019999999999996,,144.99070928308234
16,106,38625,,4.675835765343092,,2.972892655601721,,7.051412473939166,,4.264760499999999,,3.9174513744106476,,174.06804048780486,,20.019999999999996,,144.99070928308234
17,113,38632,,4.675835765343092,,2.972892655601721,,7.051412473939166,,4.264760499999999,,3.9174513744106476,,174.06804048780486,,20.019999999999996,,144.99070928308234
