Semana,N,Urea,P2O5,MAP 12-61-0,K2O,Kcl Soluble,MgO,Sulfato de Magnesio,Ca,Nitrato de Calcio,B,Solubor
1,2.1976979715354332,3.2711405344612516,1.46580966155,2.4029666582786886,2.819269115,4.698781858333334,0.4547,2.841875,0.70481727875,2.6104343657407405,5.0926,24.841951219512197
2,2.1976979715354332,3.2711405344612516,1.46580966155,2.4029666582786886,2.819269115,4.698781858333334,0.4547,2.841875,0.70481727875,2.6104343657407405,5.0926,24.841951219512197
3,4.3953959430708665,6.065647282835546,4.0461479929,6.633029496557377,5.63853823,9.397563716666667,0.9094,5.68375,1.4096345575,5.220868731481481,9.1667,44.715609756097564
4,4.3953959430708665,6.065647282835546,4.0461479929,6.633029496557377,5.63853823,9.397563716666667,0.9094,5.68375,1.4096345575,5.220868731481481,12.2222,59.62048780487805
5,4.3953959430708665,6.065647282835546,4.0461479929,6.633029496557377,5.63853823,9.397563716666667,0.9094,5.68375,1.4096345575,5.220868731481481,12.2222,59.62048780487805
6,4.3953959430708665,6.065647282835546,4.0461479929,6.633029496557377,5.63853823,9.397563716666667,0.9094,5.68375,1.4096345575,5.220868731481481,17.3149,84.46292682926831
7,4.3953959430708665,6.065647282835546,4.0461479929,6.633029496557377,5.63853823,9.397563716666667,0.9094,5.68375,1.4096345575,5.220868731481481,17.3149,84.46292682926831
8,4.151207279566929,6.490395430963124,1.8116528670499998,2.9699227328688522,5.63853823,9.397563716666667,0.9094,5.68375,1.4096345575,5.220868731481481,23.426,114.27317073170731
9,4.151207279566929,6.490395430963124,1.8116528670499998,2.9699227328688522,5.63853823,9.397563716666667,0.9094,5.68375,1.4096345575,5.220868731481481,23.426,114.27317073170731
10,4.151207279566929,6.490395430963124,1.8116528670499998,2.9699227328688522,5.63853823,9.397563716666667,0.9094,5.68375,1.4096345575,5.220868731481481,29.5372,144.0839024390244
11,4.151207279566929,6.490395430963124,1.8116528670499998,2.9699227328688522,5.63853823,9.397563716666667,0.9094,5.68375,1.4096345575,5.220868731481481,29.5372,144.0839024390244
12,3.1117248089547247,4.67116460074235,1.8116528670499998,2.9699227328688522,4.2266208635,7.044368105833334,0.68168,4.2604999999999995,1.056655215875,3.913537836574074,29.5372,144.0839024390244
13,3.1117248089547247,4.67116460074235,1.8116528670499998,2.9699227328688522,4.2266208635,7.044368105833334,0.68168,4.2604999999999995,1.056655215875,3.913537836574074,35.6483,173.89414634146343
14,3.1117248089547247,4.67116460074235,1.8116528670499998,2.9699227328688522,4.2266208635,7.044368105833334,0.68168,4.2604999999999995,1.056655215875,3.913537836574074,35.6483,173.89414634146343
15,3.1117248089547247,4.67116460074235,1.8116528670499998,2.9699227328688522,4.2266208635,7.044368105833334,0.68168,4.2604999999999995,1.056655215875,3.913537836574074,35.6483,173.89414634146343
16,3.1117248089547247,4.67116460074235,1.8116528670499998,2.9699227328688522,4.2266208635,7.044368105833334,0.68168,4.2604999999999995,1.056655215875,3.913537836574074,35.6483,173.89414634146343
17,3.1117248089547247,4.67116460074235,1.8116528670499998,2.9699227328688522,4.2266208635,7.044368105833334,0.68168,4.2604999999999995,1.056655215875,3.913537836574074,35.6483,173.89414634146343
